feature_id	public_name	source_location	source_version	source_modality	feature_class	exact_formula_or_weights	source_direction	required_inputs	identifier_system	exact_on_codex	exact_on_visium	exact_on_xenium	exact_on_benchmark	proxy_allowed	execution_status	source_file_sha256	license	notes
SPARC-MIF-01	Intratumoral lymphocyte presence	PMC12259099 Methods: SPARC/MIF-based signatures	preprint-v1 + Zenodo-2026-03-v2-notebook	MIF/CODEX	cellular-architecture-ratio	n(ME=lymphocyte-rich tumor) / [n(ME=lymphocyte-rich tumor) + n(ME=myeloid cell-rich tumor)]	higher-in-responders	source-fixed MIF cell-level microenvironment archetype annotations; region_id	source microenvironment labels: lymphocyte-rich tumor; myeloid cell-rich tumor	TRUE	FALSE	FALSE	FALSE	FALSE	EXECUTABLE_PRIMARY_MIF	43b686e81ddbb763924388bd5eceae7b249a9bedd1d178118b6bd3bb163d8ca5;f3fa9ab603709522c5e6eee2c112be267720e66e6e1c4075fa2d1db3ed351750	dataset CC-BY-4.0; preprint CC-BY-NC-ND-4.0	Same ratio can be restricted to each source CODEX region without changing its formula.
SPARC-MIF-02	Tumor-endothelium interaction	PMC12259099 Methods: SPARC/MIF-based signatures	preprint-v1 + Zenodo-2026-03-v2-notebook	MIF/CODEX	cellular-location-ratio	n(endothelial cells in myeloid-rich or endothelial-rich tumor ME) / n(endothelial cells across all four tumor-associated ME)	higher-in-nonresponders	source-fixed MIF cell type and microenvironment archetype annotations; region_id	source cell type and microenvironment labels	TRUE	FALSE	FALSE	FALSE	FALSE	EXECUTABLE_PRIMARY_MIF	43b686e81ddbb763924388bd5eceae7b249a9bedd1d178118b6bd3bb163d8ca5;f3fa9ab603709522c5e6eee2c112be267720e66e6e1c4075fa2d1db3ed351750	dataset CC-BY-4.0; preprint CC-BY-NC-ND-4.0	All four tumor-associated ME are the source archetypes; no transcript proxy is allowed.
SPARC-MIF-03	LA exposure level	PMC12259099 Methods: SPARC/MIF-based signatures	preprint-v1 + Zenodo-2026-03-v2-notebook	MIF/CODEX	lymphoid-architecture-ratio	n(CD4-T-rich LA + B-rich LA core ME) / n(CD4-T-rich LA + B-rich LA core ME + tumor-interface ME)	higher-in-responders	source-fixed MIF microenvironment archetype annotations; region_id	source ME labels 7.0, 7.1 and 0.0	TRUE	FALSE	FALSE	FALSE	FALSE	EXECUTABLE_PRIMARY_MIF	43b686e81ddbb763924388bd5eceae7b249a9bedd1d178118b6bd3bb163d8ca5;f3fa9ab603709522c5e6eee2c112be267720e66e6e1c4075fa2d1db3ed351750	dataset CC-BY-4.0; preprint CC-BY-NC-ND-4.0	Fibroblast-interface ME is not in the published denominator.
SPARC-ST-01	Intratumoral T cell activation	PMC12259099 Methods: SPARC/ST-based signatures; Zenodo v2 notebook cells 5 and 97-104	preprint-v1 + Zenodo-2026-03-v2-notebook	Visium ST	transcriptomic-program	GO:0002495 + GO:0002286 aggregated expression in tumor-associated spots	response-associated	exact gene set; Visium counts; source compartment/ME classifiers; exact region aggregation	HGNC symbols + GO terms + source ME labels	FALSE	UNRESOLVED	FALSE	FALSE	FALSE	NON_EXECUTABLE_PRIMARY_SOURCE_MISMATCH	43b686e81ddbb763924388bd5eceae7b249a9bedd1d178118b6bd3bb163d8ca5;f3fa9ab603709522c5e6eee2c112be267720e66e6e1c4075fa2d1db3ed351750	dataset CC-BY-4.0; preprint CC-BY-NC-ND-4.0	paper names GO sets, but exact frozen genes and aggregation implementation are not concordant with the released v2 notebook
SPARC-ST-02	IFN-gamma response	PMC12259099 Methods: SPARC/ST-based signatures; Zenodo v2 notebook cells 5 and 97-104	preprint-v1 + Zenodo-2026-03-v2-notebook	Visium ST	transcriptomic-program	GO:0071346 + GO:0060333 aggregated expression in LA and lymphocyte-rich tumor spots	response-associated	exact gene set; Visium counts; source compartment/ME classifiers; exact region aggregation	HGNC symbols + GO terms + source ME labels	FALSE	UNRESOLVED	FALSE	FALSE	FALSE	NON_EXECUTABLE_PRIMARY_SOURCE_MISMATCH	43b686e81ddbb763924388bd5eceae7b249a9bedd1d178118b6bd3bb163d8ca5;f3fa9ab603709522c5e6eee2c112be267720e66e6e1c4075fa2d1db3ed351750	dataset CC-BY-4.0; preprint CC-BY-NC-ND-4.0	paper GO-set definition and released notebook IFN-gamma list/compartment axes are not the same executable object
SPARC-ST-03	Positive angiogenesis regulation	PMC12259099 Methods: SPARC/ST-based signatures; Zenodo v2 notebook cells 5 and 97-104	preprint-v1 + Zenodo-2026-03-v2-notebook	Visium ST	transcriptomic-program	13-gene leading-edge set from GO:0045766 in tumor-associated spots	nonresponse-associated	exact gene set; Visium counts; source compartment/ME classifiers; exact region aggregation	HGNC symbols + GO terms + source ME labels	FALSE	UNRESOLVED	FALSE	FALSE	FALSE	NON_EXECUTABLE_PRIMARY_SOURCE_MISMATCH	43b686e81ddbb763924388bd5eceae7b249a9bedd1d178118b6bd3bb163d8ca5;f3fa9ab603709522c5e6eee2c112be267720e66e6e1c4075fa2d1db3ed351750	dataset CC-BY-4.0; preprint CC-BY-NC-ND-4.0	the 13-gene source set is not present as a matching executable feature in the released v2 notebook
SPARC-ST-04	Metabolism strength	PMC12259099 Methods: SPARC/ST-based signatures; Zenodo v2 notebook cells 5 and 97-104	preprint-v1 + Zenodo-2026-03-v2-notebook	Visium ST	transcriptomic-program	75-gene leading-edge metabolism set in tumor-associated spots	nonresponse-associated	exact gene set; Visium counts; source compartment/ME classifiers; exact region aggregation	HGNC symbols + GO terms + source ME labels	FALSE	UNRESOLVED	FALSE	FALSE	FALSE	NON_EXECUTABLE_PRIMARY_SOURCE_MISMATCH	43b686e81ddbb763924388bd5eceae7b249a9bedd1d178118b6bd3bb163d8ca5;f3fa9ab603709522c5e6eee2c112be267720e66e6e1c4075fa2d1db3ed351750	dataset CC-BY-4.0; preprint CC-BY-NC-ND-4.0	gene list is present in the notebook, but source implementation is spot/patient-level and no exact region-level aggregation is specified
SPARC-ST-05	TGF-beta signaling and response	PMC12259099 Methods: SPARC/ST-based signatures; Zenodo v2 notebook cells 5 and 97-104	preprint-v1 + Zenodo-2026-03-v2-notebook	Visium ST	transcriptomic-program	25-gene leading-edge TGF-beta set in tumor-associated spots	nonresponse-associated	exact gene set; Visium counts; source compartment/ME classifiers; exact region aggregation	HGNC symbols + GO terms + source ME labels	FALSE	UNRESOLVED	FALSE	FALSE	FALSE	NON_EXECUTABLE_PRIMARY_SOURCE_MISMATCH	43b686e81ddbb763924388bd5eceae7b249a9bedd1d178118b6bd3bb163d8ca5;f3fa9ab603709522c5e6eee2c112be267720e66e6e1c4075fa2d1db3ed351750	dataset CC-BY-4.0; preprint CC-BY-NC-ND-4.0	paper states 25 genes while the released v2 notebook implements a 16-gene TGF-beta list
SPARC-ST-06	Inflammatory chemokines	PMC12259099 Methods: SPARC/ST-based signatures; Zenodo v2 notebook cells 5 and 97-104	preprint-v1 + Zenodo-2026-03-v2-notebook	Visium ST	transcriptomic-program	aggregated inflammatory-set expression minus homeostatic-set expression in tumor-associated spots	response-associated	exact gene set; Visium counts; source compartment/ME classifiers; exact region aggregation	HGNC symbols + GO terms + source ME labels	FALSE	UNRESOLVED	FALSE	FALSE	FALSE	NON_EXECUTABLE_PRIMARY_SOURCE_MISMATCH	43b686e81ddbb763924388bd5eceae7b249a9bedd1d178118b6bd3bb163d8ca5;f3fa9ab603709522c5e6eee2c112be267720e66e6e1c4075fa2d1db3ed351750	dataset CC-BY-4.0; preprint CC-BY-NC-ND-4.0	notebook supplies lists and a log1p(mean)-difference implementation, but the paper only states aggregated-expression difference and no region-level aggregation
SPARC-ST-07	Immune-excluding ECM and remodeling/disassembly	PMC12259099 Methods: SPARC/ST-based signatures; Zenodo v2 notebook cells 5 and 97-104	preprint-v1 + Zenodo-2026-03-v2-notebook	Visium ST	transcriptomic-program	published 30-gene excluding ECM and 29-gene remodeling/disassembly sets in tumor-associated spots	direction depends on excluding-versus-remodeling component	exact gene set; Visium counts; source compartment/ME classifiers; exact region aggregation	HGNC symbols + GO terms + source ME labels	FALSE	UNRESOLVED	FALSE	FALSE	FALSE	NON_EXECUTABLE_PRIMARY_SOURCE_MISMATCH	43b686e81ddbb763924388bd5eceae7b249a9bedd1d178118b6bd3bb163d8ca5;f3fa9ab603709522c5e6eee2c112be267720e66e6e1c4075fa2d1db3ed351750	dataset CC-BY-4.0; preprint CC-BY-NC-ND-4.0	paper gene counts and released v2 notebook lists differ; the paper does not freeze a single combined region-level score
